Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
4467,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 3: Prenatal Testing and Complications,"Complications: TORCH Infections, Chlamydia, Gonorrhea, HIV/AIDS - Maternity Nursing |@LevelUpRN",https://www.youtube.com/watch?v=OtWG6ExNUlI
4468,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 4: Complications of Pregnancy,"Complications: Hyperemesis Gravidarum, Candidiasis, Anemia, UTI  - Maternity Nursing |@LevelUpRN",https://www.youtube.com/watch?v=pXdUx3zHdxQ
4469,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 4: Complications of Pregnancy,Complications: Gestational Diabetes Mellitus (GDM) - Maternity Nursing | @LevelUpRN,https://www.youtube.com/watch?v=DUsmPfEt_zg
4470,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 4: Complications of Pregnancy,"Complications: Cervical Insufficiency, Placenta Previa, Abruptio Placenta - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=JzSC_P7JwR0
4471,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 4: Complications of Pregnancy,"Complications: Preeclampsia, HELLP Syndrome, Amniotic Fluid Abnormalities - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=1B17eRAQ0lM
4472,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 5: Labor and Delivery,"Physiologic Changes before Labor, True vs. False Labor  - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=CZK2-efjsaw
4473,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 5: Labor and Delivery,"Factors Affecting Labor, Fetal Position, Fetal Station - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=y7JWObvyQ3I
4474,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 5: Labor and Delivery,"Stages of Labor, Effacement vs. Dilation - Maternity Nursing - Labor & Delivery (L&D) | @LevelUpRN",https://www.youtube.com/watch?v=T3CS1vdB8V8
4475,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 5: Labor and Delivery,"Pain Management During Labor, Regional Anesthesia - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=eTLVyMs-Tm4
4476,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 6: Intrapartum Monitoring and Interventions,"Fetal Assessment: Leopold Maneuvers, Fetal Heart Rate Monitoring - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=GpulByCgBJM
4477,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 6: Intrapartum Monitoring and Interventions,"Fetal Heart Rate Patterns: Normal and Abnormal Findings, VEAL CHOP - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=Ni48bbtiZgs
4478,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 6: Intrapartum Monitoring and Interventions,"External Cephalic Version, Bishop Score, Labor Induction/Augmentation - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=92ocoXRhDqk
4479,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 6: Intrapartum Monitoring and Interventions,"Vacuum/Forceps Assisted Delivery, Premature Rupture of Membranes, Preterm Labor | @LevelUpRN",https://www.youtube.com/watch?v=YUcPB5pUEXk
4480,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 7: Labor Complications and Interventions,"Labor Dystocia, Prolapsed Umbilical Cord, Cesarean Section - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=Beqj6fIGGLo
4481,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 7: Labor Complications and Interventions,"Uterine Rupture, Amniotic Fluid Embolism, Precipitous Labor - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=rHyXoatcyPg
4482,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 7: Labor Complications and Interventions,"APGAR, Vital Signs, New Ballard Scale, Thermoregulation, Height/Weight - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=p7bVMS9MajU
4483,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 8:  Postpartum Care of the Newborn,Expected and Abnormal Findings of Newborn Assessment - Maternity Nursing- Newborn Care | @LevelUpRN,https://www.youtube.com/watch?v=PKCIlQ9nDlU
4484,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 8:  Postpartum Care of the Newborn,"Infant Reflexes, Heel Stick, Labs and Prophylactic Medications at Birth - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=cOpydLSW-mU
4485,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 8:  Postpartum Care of the Newborn,"NAS, Hypoglycemia, Macrosomia, Sepsis Neonatorum, Necrotizing Enterocolitis - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=kT_bp4oINQM
4486,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 8:  Postpartum Care of the Newborn,"Hyperbilirubinemia: Symptoms, Treatment, Phototherapy, Nursing Care- Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=eXFGLVu22Gw
4487,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 9: Neonatal Complications and Care,"Preterm and Postmature Infants, Meconium Aspiration Syndrome - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=ihE8m1Oyo4E
4488,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 9: Neonatal Complications and Care,"Infant Nutrition, Breastfeeding & Formula Feeding Best Practices - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=Rn6dDWkS5EM
4489,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 9: Neonatal Complications and Care,"Circumcision, Bathing, Cord Care; Crib, Sleep, & Car Seat Safety - Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=jQm-rH2S62A
4490,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 10: Postpartum Care of the Mother,Assessment of Fundus and Lochia - Maternity Nursing - Postpartum Care | @LevelUpRN,https://www.youtube.com/watch?v=hrozJ-EbdGI
4491,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 10: Postpartum Care of the Mother,"Perineal and Breast Care, Postpartum Immunizations - Maternity - Postpartum Care | @LevelUpRN",https://www.youtube.com/watch?v=erGBWN826CI
4492,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 10: Postpartum Care of the Mother,"Maternal Role Attainment, Parental-Infant Bonding, Sibling Adaptation - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=qY6qiGVSKbc
4493,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 10: Postpartum Care of the Mother,"Cardiovascular Changes, Deep Vein Thrombosis, Pulmonary Embolism- Maternity Nursing | @LevelUpRN",https://www.youtube.com/watch?v=iwOylM9-e20
4494,Nursing,Maternity Nursing (OB),,12th,English/Hindi,Module 10: Postpartum Care of the Mother,"Postpartum Hemorrhage, Endometritis, Mastitis, Mental Health Concerns - Maternity | @LevelUpRN",https://www.youtube.com/watch?v=Lez2Qbqk9bQ
